21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
1069.00	13.25	16.08	0.62	3.30
1074.00	14.79	16.08	0.61	3.30
1078.00	22.82	16.08	0.80	3.30
1082.00	32.77	16.08	0.56	3.29
1086.00	31.46	16.08	0.69	3.29
1091.00	21.84	16.08	0.85	3.30
1095.00	20.81	16.08	0.61	3.30
1099.00	27.45	16.08	0.75	3.30
1103.00	32.87	16.08	0.87	3.29
1107.00	32.96	16.08	0.71	3.30
1112.00	23.90	16.38	0.90	3.29
1116.00	10.77	16.38	0.98	3.30
1121.00	21.65	16.38	0.67	3.30
1125.00	29.50	15.97	0.79	3.29
1129.00	33.24	15.97	0.96	3.30
1134.00	22.40	15.97	0.86	3.30
1138.00	14.18	16.38	0.70	3.30
1143.00	31.65	16.38	0.75	3.30
1147.00	38.80	16.38	1.01	3.30
1151.00	33.24	16.27	0.94	3.30
1156.00	29.32	16.27	0.80	3.29
1160.00	34.17	16.27	0.88	3.30
1165.00	40.39	16.27	1.03	3.30
1170.00	33.99	16.27	1.15	3.30
1174.00	17.08	16.27	1.29	3.30
1179.00	20.91	16.27	1.12	3.30
1184.00	36.37	16.27	0.94	3.29
1188.00	32.73	16.27	0.89	3.29
1193.00	18.99	16.27	0.92	3.29
1198.00	36.28	16.27	0.95	3.30
1202.00	43.84	16.27	1.04	3.30
1207.00	30.86	16.27	1.16	3.30
1212.00	38.42	16.27	1.36	3.30
1216.00	44.82	16.27	1.48	3.30
1221.00	43.00	16.27	1.65	3.30
1226.00	26.61	16.27	1.47	3.30
1230.00	23.06	16.27	1.34	3.29
1235.00	41.93	16.27	1.30	3.30
1239.00	37.12	16.27	1.23	3.30
1244.00	25.86	16.27	1.17	3.30
1249.00	45.53	16.27	1.17	3.30
1253.00	48.84	16.27	1.21	3.30
1258.00	36.93	16.27	1.26	3.30
1262.00	46.97	16.27	1.35	3.30
1267.00	52.95	16.27	1.43	3.30
1272.00	43.19	16.27	1.43	3.30
1276.00	25.86	16.27	1.37	3.30
1281.00	48.28	16.27	1.40	3.29
1286.00	47.49	16.27	1.44	3.30
1290.00	26.37	16.27	1.43	3.30
1295.00	51.41	16.27	1.50	3.30
1299.00	52.67	16.27	1.67	3.30
1304.00	42.63	16.27	1.81	3.30
1309.00	53.42	16.27	1.98	3.30
1313.00	58.98	16.27	2.18	3.30
1318.00	37.44	16.27	2.24	3.30
1323.00	45.34	16.27	2.01	3.30
1327.00	58.04	16.27	1.95	3.29
1332.00	38.14	16.27	1.83	3.30
1337.00	54.26	16.27	1.75	3.30
1341.00	62.02	16.27	1.75	3.30
1346.00	42.40	16.27	1.78	3.30
1350.00	58.04	16.27	1.98	3.30
1355.00	60.61	16.27	2.36	3.30
1360.00	46.65	16.27	2.54	3.30
1364.00	50.01	16.27	2.16	3.30
1369.00	61.50	16.27	2.14	3.30
1374.00	41.51	16.27	1.99	3.30
1378.00	60.10	16.27	1.95	3.30
1383.00	64.58	16.27	2.28	3.30
1387.00	49.78	16.27	2.77	3.30
1392.00	65.24	16.27	2.44	3.30
1397.00	64.54	16.27	2.38	3.30
1401.00	43.19	16.27	2.22	3.30
1406.00	66.08	16.27	2.38	3.30
1411.00	61.41	16.27	2.88	3.30
1415.00	54.68	16.27	2.51	3.30
1420.00	71.78	16.27	2.45	3.30
1425.00	53.61	16.27	2.36	3.30
1429.00	69.96	16.27	2.90	3.30
1434.00	72.53	16.27	3.28	3.30
1438.00	52.91	16.27	2.67	3.30
1443.00	72.43	16.27	2.53	3.29
1448.00	69.26	16.27	3.00	3.30
1452.00	56.92	16.27	3.02	3.30
1457.00	78.97	16.27	2.76	3.30
1462.00	58.98	16.27	2.72	3.29
1466.00	76.50	16.27	3.55	3.30
1471.00	78.93	16.27	3.10	3.30
1476.00	52.35	16.27	2.81	3.29
1480.00	79.53	16.27	3.32	3.30
1485.00	70.14	16.27	3.37	3.30
1490.00	71.64	16.27	2.96	3.30
1494.00	83.78	16.27	3.34	3.30
1499.00	60.38	16.27	3.66	3.30
1503.00	84.49	16.27	3.19	3.29
1508.00	76.59	16.27	3.49	3.30
1513.00	73.69	16.27	3.52	3.29
1518.00	85.51	16.27	3.21	3.30
1522.00	61.88	16.27	3.87	3.30
1527.00	89.53	16.27	3.49	3.30
1531.00	72.62	16.27	3.36	3.29
1536.00	83.83	16.27	4.38	3.29
1541.00	88.18	16.27	3.63	3.29
1545.00	62.39	16.27	3.73	3.30
1550.00	92.10	16.27	4.02	3.30
1555.00	71.55	16.27	3.54	3.30
1559.00	90.42	16.27	4.52	3.30
1564.00	84.77	16.27	3.80	3.29
1569.00	83.22	16.27	4.20	3.30
1573.00	94.30	16.27	4.04	3.30
1578.00	65.66	16.27	3.86	3.29
1583.00	96.40	16.27	4.52	3.30
1587.00	75.38	16.27	3.88	3.30
1592.00	95.32	16.27	5.01	3.30
1596.00	93.41	16.27	4.04	3.30
1601.00	90.93	16.27	4.95	3.30
1606.00	97.66	16.27	4.22	3.30
1610.00	70.56	16.27	4.86	3.30
1615.00	100.51	16.27	4.34	3.30
1620.00	78.65	16.27	4.82	3.30
1624.00	102.52	16.27	4.36	3.30
1629.00	87.19	16.27	5.01	3.30
1634.00	98.41	16.27	4.54	3.30
1638.00	92.85	16.27	5.25	3.29
1643.00	90.98	16.27	4.54	3.30
1648.00	102.61	16.27	5.52	3.30
1652.00	95.65	16.27	4.52	3.30
1657.00	105.97	16.27	5.77	3.30
1661.00	87.19	16.27	4.75	3.29
1666.00	108.45	16.27	5.73	3.30
1671.00	79.77	16.27	4.85	3.30
1675.00	109.06	16.27	4.96	3.30
1680.00	88.22	16.27	5.21	3.30
1685.00	110.09	16.27	4.70	3.30
1689.00	89.62	16.27	5.72	3.30
1694.00	109.76	16.27	4.76	3.30
1699.00	100.28	16.27	5.55	3.30
1703.00	103.64	16.27	4.82	3.30
1708.00	101.26	16.27	4.98	3.30
1713.00	109.43	16.27	5.27	3.30
1717.00	112.51	16.27	4.81	3.30
1722.00	103.55	16.27	5.82	3.30
1727.00	112.51	16.27	4.84	3.30
1731.00	92.94	16.27	5.84	3.30
1736.00	116.67	16.27	4.81	3.30
1740.00	98.97	16.27	5.38	3.30
1745.00	120.22	16.27	5.00	3.29
1750.00	94.11	16.27	5.10	3.30
1754.00	117.14	16.27	5.46	3.30
1759.00	95.04	16.27	4.84	3.30
1764.00	117.47	16.27	5.78	3.30
1768.00	105.74	16.27	4.89	3.30
1773.00	118.40	16.27	6.02	3.30
1778.00	110.27	16.27	4.98	3.30
1782.00	114.94	16.27	6.23	3.30
1787.00	119.62	16.27	5.03	3.30
1792.00	96.44	16.27	5.91	3.30
1796.00	121.11	16.27	5.04	3.30
1801.00	102.70	16.27	5.72	3.29
1805.00	124.71	16.27	5.17	3.30
1810.00	100.46	16.27	5.64	3.30
1815.00	122.74	16.27	5.37	3.30
1819.00	104.99	16.27	5.52	3.30
1824.00	120.32	16.27	5.38	3.30
1829.00	111.02	16.27	5.46	3.30
1833.00	125.64	16.27	5.51	3.30
1838.00	124.38	16.27	5.34	3.30
1843.00	108.45	16.27	5.64	3.29
1847.00	124.80	16.27	5.40	3.30
1852.00	98.41	16.27	5.63	3.30
1857.00	126.11	16.27	5.35	3.30
1861.00	103.26	16.27	5.69	3.30
1866.00	128.02	16.27	5.42	3.30
1870.00	108.26	16.27	5.68	3.29
1875.00	125.03	16.27	5.44	3.30
1880.00	124.80	16.27	5.72	3.30
1884.00	121.20	16.27	5.23	3.30
1889.00	127.23	16.27	5.75	3.30
1894.00	111.35	16.27	5.23	3.30
1898.00	131.43	16.27	5.70	3.30
1903.00	104.67	16.27	5.53	3.29
1908.00	127.79	16.27	5.74	3.30
1912.00	109.38	16.27	5.72	3.30
1917.00	124.85	16.27	5.53	3.30
1921.00	116.20	16.27	5.84	3.30
1926.00	128.49	16.27	5.44	3.30
1931.00	129.29	16.27	5.87	3.30
1935.00	112.37	16.27	5.49	3.29
1940.00	129.43	16.27	6.00	3.30
1945.00	96.40	16.27	5.41	3.30
1949.00	127.60	16.27	5.93	3.30
1954.00	102.56	16.27	5.37	3.30
1959.00	130.73	16.27	6.12	3.30
1963.00	119.01	16.27	5.42	3.30
1968.00	124.15	16.27	6.43	3.30
1973.00	123.59	16.27	5.40	3.30
1977.00	113.22	16.27	6.33	3.30
1982.00	129.00	16.27	5.37	3.30
1986.00	103.17	16.27	6.37	3.30
1991.00	132.37	16.27	5.37	3.30
1996.00	104.81	16.27	6.46	3.30
2000.00	129.99	16.27	5.45	3.30
2005.00	120.64	16.27	6.56	3.30
2010.00	127.84	16.27	5.32	3.30
2014.00	125.59	16.27	6.55	3.29
2019.00	119.80	16.27	5.26	3.29
2024.00	130.64	16.27	6.58	3.30
2028.00	112.65	16.27	5.36	3.30
2033.00	130.59	16.27	6.57	3.30
2038.00	104.71	16.27	5.36	3.30
2042.00	128.68	16.27	6.39	3.30
2047.00	112.56	16.27	5.30	3.30
2052.00	131.71	16.27	6.21	3.30
2056.00	128.63	16.27	5.43	3.30
2061.00	125.50	16.27	6.24	3.30
2066.00	129.10	16.27	5.44	3.30
2070.00	101.16	16.27	6.14	3.30
2075.00	130.13	16.27	5.43	3.30
2080.00	103.92	16.27	6.03	3.30
2084.00	131.39	16.27	5.34	3.30
2089.00	116.44	16.27	5.97	3.30
2094.00	128.35	16.27	5.59	3.30
2098.00	122.00	16.27	5.75	3.30
2103.00	117.89	16.27	5.53	3.30
2107.00	130.36	16.27	5.62	3.30
2112.00	117.75	16.27	5.65	3.30
2117.00	133.02	16.27	5.58	3.30
2121.00	104.20	16.27	5.99	3.30
2126.00	128.77	16.27	5.63	3.30
